Station ID,Station Name,Latitude,Longitude
9569,BIG SPRINGS CREEK ABV. DEARDEN RANCH,38.77215,-114.04684
9572,CLAY SPRING,38.86551,-113.9936
9570,EAST MIDDLE DITCH,38.77721,-114.04285
9595,FOOTE RESERVOIR SPRING,39.41556,-113.87019
9573,KELL SPRING,39.30383,-114.00847
10318,LELAND HARRIS WELL,39.5586,-113.89567
9600,MILLER SPRING,39.57968,-113.86546
9574,PIVOT PUMP FROM FOOTE RESERVOIR,39.42988,-113.88805
9599,TWIN SPRINGS (NORTH),39.40369,-113.86385
9589,TWIN SPRINGS (SOUTH),39.403,-113.86281
9571,WEST MIDDLE DITCH,38.77795,-114.04277